label,time,value
cpu,2018-08-01T20:05:00.000Z,0.42
memory,2018-08-01T20:05:00.000Z,0.50
disk,2018-08-01T20:05:00.000Z,0.21
cpu,2018-08-01T20:04:00.000Z,0.40
memory,2018-08-01T20:04:00.000Z,0.47
disk,2018-08-01T20:04:00.000Z,0.21
cpu,2018-08-01T20:03:00.000Z,0.81
memory,2018-08-01T20:03:00.000Z,0.49
disk,2018-08-01T20:03:00.000Z,0.22
cpu,2018-08-01T20:02:00.000Z,0.97
memory,2018-08-01T20:02:00.000Z,0.19
disk,2018-08-01T20:02:00.000Z,0.22
cpu,2018-08-01T20:01:00.000Z,0.27
memory,2018-08-01T20:01:00.000Z,0.64
disk,2018-08-01T20:01:00.000Z,0.23
cpu,2018-08-01T20:00:00.000Z,0.56
memory,2018-08-01T20:00:00.000Z,0.20
disk,2018-08-01T20:00:00.000Z,0.24
cpu,2018-08-01T19:59:00.000Z,0.01
memory,2018-08-01T19:59:00.000Z,0.17
disk,2018-08-01T19:59:00.000Z,0.24
cpu,2018-08-01T19:58:00.000Z,0.71
memory,2018-08-01T19:58:00.000Z,0.87
disk,2018-08-01T19:58:00.000Z,0.24
cpu,2018-08-01T19:57:00.000Z,0.49
memory,2018-08-01T19:57:00.000Z,0.90
disk,2018-08-01T19:57:00.000Z,0.25
cpu,2018-08-01T19:56:00.000Z,0.26
memory,2018-08-01T19:56:00.000Z,0.22
disk,2018-08-01T19:56:00.000Z,0.26
cpu,2018-08-01T19:55:00.000Z,0.61
memory,2018-08-01T19:55:00.000Z,0.25
disk,2018-08-01T19:55:00.000Z,0.26
cpu,2018-08-01T19:42:00.000Z,0.47
memory,2018-08-01T19:42:00.000Z,0.02
disk,2018-08-01T19:42:00.000Z,0.32
cpu,2018-08-01T19:41:00.000Z,0.62
memory,2018-08-01T19:41:00.000Z,0.82
disk,2018-08-01T19:41:00.000Z,0.32
cpu,2018-08-01T19:40:00.000Z,0.94
memory,2018-08-01T19:40:00.000Z,0.32
disk,2018-08-01T19:40:00.000Z,0.33
cpu,2018-08-01T19:39:00.000Z,0.35
memory,2018-08-01T19:39:00.000Z,0.53
disk,2018-08-01T19:39:00.000Z,0.34
cpu,2018-08-01T19:38:00.000Z,0.10
memory,2018-08-01T19:38:00.000Z,0.65
disk,2018-08-01T19:38:00.000Z,0.35
cpu,2018-08-01T19:37:00.000Z,0.23
memory,2018-08-01T19:37:00.000Z,0.90
disk,2018-08-01T19:37:00.000Z,0.35
cpu,2018-08-01T19:36:00.000Z,0.48
memory,2018-08-01T19:36:00.000Z,0.77
disk,2018-08-01T19:36:00.000Z,0.36
cpu,2018-08-01T19:35:00.000Z,0.45
memory,2018-08-01T19:35:00.000Z,0.77
disk,2018-08-01T19:35:00.000Z,0.36
cpu,2018-08-01T19:34:00.000Z,1.00
memory,2018-08-01T19:34:00.000Z,0.30
disk,2018-08-01T19:34:00.000Z,0.37
cpu,2018-08-01T19:33:00.000Z,0.93
memory,2018-08-01T19:33:00.000Z,0.80
disk,2018-08-01T19:33:00.000Z,0.38
cpu,2018-08-01T19:32:00.000Z,0.26
memory,2018-08-01T19:32:00.000Z,0.46
disk,2018-08-01T19:32:00.000Z,0.38
cpu,2018-08-01T19:31:00.000Z,0.71
memory,2018-08-01T19:31:00.000Z,0.14
disk,2018-08-01T19:31:00.000Z,0.39
cpu,2018-08-01T19:30:00.000Z,0.38
memory,2018-08-01T19:30:00.000Z,0.38
disk,2018-08-01T19:30:00.000Z,0.40
cpu,2018-08-01T19:29:00.000Z,0.29
memory,2018-08-01T19:29:00.000Z,0.82
disk,2018-08-01T19:29:00.000Z,0.41
cpu,2018-08-01T19:28:00.000Z,0.97
memory,2018-08-01T19:28:00.000Z,0.14
disk,2018-08-01T19:28:00.000Z,0.41
cpu,2018-08-01T19:27:00.000Z,0.62
memory,2018-08-01T19:27:00.000Z,0.25
disk,2018-08-01T19:27:00.000Z,0.42
cpu,2018-08-01T19:26:00.000Z,0.11
memory,2018-08-01T19:26:00.000Z,0.98
disk,2018-08-01T19:26:00.000Z,0.42
cpu,2018-08-01T19:25:00.000Z,0.63
memory,2018-08-01T19:25:00.000Z,0.46
disk,2018-08-01T19:25:00.000Z,0.43
cpu,2018-08-01T19:24:00.000Z,0.59
memory,2018-08-01T19:24:00.000Z,0.79
disk,2018-08-01T19:24:00.000Z,0.44
cpu,2018-08-01T19:23:00.000Z,0.52
memory,2018-08-01T19:23:00.000Z,0.69
disk,2018-08-01T19:23:00.000Z,0.45
cpu,2018-08-01T19:22:00.000Z,0.89
memory,2018-08-01T19:22:00.000Z,0.90
disk,2018-08-01T19:22:00.000Z,0.46
cpu,2018-08-01T19:21:00.000Z,0.88
memory,2018-08-01T19:21:00.000Z,0.76
disk,2018-08-01T19:21:00.000Z,0.47
cpu,2018-08-01T19:20:00.000Z,0.91
memory,2018-08-01T19:20:00.000Z,0.30
disk,2018-08-01T19:20:00.000Z,0.47
cpu,2018-08-01T19:19:00.000Z,0.58
memory,2018-08-01T19:19:00.000Z,0.14
disk,2018-08-01T19:19:00.000Z,0.47
cpu,2018-08-01T19:18:00.000Z,0.81
memory,2018-08-01T19:18:00.000Z,0.56
disk,2018-08-01T19:18:00.000Z,0.47
cpu,2018-08-01T19:17:00.000Z,0.40
memory,2018-08-01T19:17:00.000Z,0.53
disk,2018-08-01T19:17:00.000Z,0.48
cpu,2018-08-01T19:16:00.000Z,0.29
memory,2018-08-01T19:16:00.000Z,0.05
disk,2018-08-01T19:16:00.000Z,0.48
cpu,2018-08-01T19:15:00.000Z,0.87
memory,2018-08-01T19:15:00.000Z,0.45
